date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2021-10-31,61859.19,61859.19,62399.0,62399.0,61859.18,61859.18,62300.33,62300.33,1884.44292,1884.44292
2021-10-30,62253.7,62253.7,62359.25,62359.25,60673.0,60673.0,61859.19,61859.19,31478.12566,31478.12566
2021-10-29,60575.9,60575.9,62980.0,62980.0,60174.81,60174.81,62253.71,62253.71,43973.90414,43973.90414
2021-10-28,58413.44,58413.44,62499.0,62499.0,57820.0,57820.0,60575.89,60575.89,61056.35301,61056.35301
2021-10-27,60328.81,60328.81,61496.0,61496.0,58000.0,58000.0,58413.44,58413.44,62124.49016,62124.49016
2021-10-26,63078.78,63078.78,63293.48,63293.48,59817.55,59817.55,60328.81,60328.81,40217.50083,40217.50083
2021-10-25,60852.22,60852.22,63710.63,63710.63,60650.0,60650.0,63078.78,63078.78,36853.83806,36853.83806
2021-10-24,61286.75,61286.75,61500.0,61500.0,59510.63,59510.63,60852.22,60852.22,31226.57676,31226.57676
2021-10-23,60688.23,60688.23,61747.64,61747.64,59562.15,59562.15,61286.75,61286.75,27626.93678,27626.93678
2021-10-22,62193.15,62193.15,63732.39,63732.39,60000.0,60000.0,60688.22,60688.22,52119.35886,52119.35886
2021-10-21,66001.4,66001.4,66639.74,66639.74,62000.0,62000.0,62193.15,62193.15,68538.64537,68538.64537
2021-10-20,64280.59,64280.59,67000.0,67000.0,63481.4,63481.4,66001.41,66001.41,51428.934856,51428.934856
2021-10-19,62005.6,62005.6,64486.0,64486.0,61322.22,61322.22,64280.59,64280.59,53628.107744,53628.107744
2021-10-18,61528.32,61528.32,62695.78,62695.78,59844.45,59844.45,62009.84,62009.84,51798.44844,51798.44844
2021-10-17,60875.57,60875.57,61718.39,61718.39,58963.0,58963.0,61528.33,61528.33,39099.24124,39099.24124
2021-10-16,61672.42,61672.42,62378.42,62378.42,60150.0,60150.0,60875.57,60875.57,35467.88096,35467.88096
2021-10-15,57347.94,57347.94,62933.0,62933.0,56850.0,56850.0,61672.42,61672.42,82512.908022,82512.908022
2021-10-14,57370.83,57370.83,58532.54,58532.54,56818.05,56818.05,57347.94,57347.94,43053.336781,43053.336781
2021-10-13,55996.91,55996.91,57777.0,57777.0,54167.19,54167.19,57367.0,57367.0,55808.44492,55808.44492
2021-10-12,57471.35,57471.35,57680.0,57680.0,53879.0,53879.0,55996.93,55996.93,53471.2855,53471.2855
2021-10-11,54659.01,54659.01,57839.04,57839.04,54415.06,54415.06,57471.35,57471.35,52933.165751,52933.165751
2021-10-10,54949.72,54949.72,56561.31,56561.31,54080.0,54080.0,54659.0,54659.0,89237.836128,89237.836128
2021-10-09,53955.67,53955.67,55489.0,55489.0,53661.67,53661.67,54949.72,54949.72,55177.08013,55177.08013
2021-10-08,53785.22,53785.22,56100.0,56100.0,53617.61,53617.61,53951.43,53951.43,46160.25785,46160.25785
2021-10-07,55315.0,55315.0,55332.31,55332.31,53357.0,53357.0,53785.22,53785.22,54917.37766,54917.37766
2021-10-06,51471.99,51471.99,55750.0,55750.0,50382.41,50382.41,55315.0,55315.0,79877.545181,79877.545181
2021-10-05,49224.93,49224.93,51886.3,51886.3,49022.4,49022.4,51471.99,51471.99,52125.66793,52125.66793
2021-10-04,48200.01,48200.01,49536.12,49536.12,46891.0,46891.0,49224.94,49224.94,46796.49372,46796.49372
2021-10-03,47634.89,47634.89,49228.08,49228.08,47088.0,47088.0,48200.01,48200.01,30825.05601,30825.05601
2021-10-02,48141.6,48141.6,48336.59,48336.59,47430.18,47430.18,47634.9,47634.9,30508.98131,30508.98131
2021-10-01,43820.01,43820.01,48495.0,48495.0,43283.03,43283.03,48141.61,48141.61,66244.87492,66244.87492
2021-09-30,41524.29,41524.29,44141.37,44141.37,41410.17,41410.17,43824.1,43824.1,46381.22781,46381.22781
2021-09-29,41025.01,41025.01,42590.0,42590.0,40753.88,40753.88,41524.28,41524.28,33511.53487,33511.53487
2021-09-28,42147.35,42147.35,42787.38,42787.38,40888.0,40888.0,41026.54,41026.54,43372.2624,43372.2624
2021-09-27,43160.9,43160.9,44350.0,44350.0,42098.0,42098.0,42147.35,42147.35,39776.84383,39776.84383
2021-09-26,42670.63,42670.63,43950.0,43950.0,40750.0,40750.0,43160.9,43160.9,49879.99765,49879.99765
2021-09-25,42810.58,42810.58,42966.84,42966.84,41646.28,41646.28,42670.64,42670.64,33594.57189,33594.57189
2021-09-24,44865.26,44865.26,45200.0,45200.0,40675.0,40675.0,42810.57,42810.57,84113.426292,84113.426292
2021-09-23,43546.37,43546.37,44978.0,44978.0,43069.09,43069.09,44865.26,44865.26,48699.57655,48699.57655
2021-09-22,40734.09,40734.09,44000.55,44000.55,40565.39,40565.39,43543.61,43543.61,58349.05542,58349.05542
2021-09-21,43016.64,43016.64,43639.0,43639.0,39600.0,39600.0,40734.38,40734.38,84534.080485,84534.080485
2021-09-20,47241.75,47241.75,47347.25,47347.25,42500.0,42500.0,43015.62,43015.62,78003.524443,78003.524443
2021-09-19,48292.75,48292.75,48372.83,48372.83,46829.18,46829.18,47241.75,47241.75,29847.24349,29847.24349
2021-09-18,47299.98,47299.98,48843.2,48843.2,47035.56,47035.56,48292.74,48292.74,30906.47038,30906.47038
2021-09-17,47737.81,47737.81,48150.0,48150.0,46699.56,46699.56,47299.98,47299.98,34461.92776,34461.92776
2021-09-16,48121.4,48121.4,48557.0,48557.0,47021.1,47021.1,47737.82,47737.82,40725.08895,40725.08895
2021-09-15,47103.28,47103.28,48500.0,48500.0,46682.32,46682.32,48121.41,48121.41,43204.71174,43204.71174
2021-09-14,44940.72,44940.72,47250.0,47250.0,44594.44,44594.44,47111.52,47111.52,44855.85099,44855.85099
2021-09-13,46025.23,46025.23,46880.0,46880.0,43370.0,43370.0,44940.73,44940.73,65429.15056,65429.15056
2021-09-12,45173.68,45173.68,46460.0,46460.0,44742.06,44742.06,46025.24,46025.24,32094.28052,32094.28052
2021-09-11,44842.2,44842.2,45987.93,45987.93,44722.22,44722.22,45173.69,45173.69,30440.4081,30440.4081
2021-09-10,46395.14,46395.14,47033.0,47033.0,44132.29,44132.29,44850.91,44850.91,49048.26618,49048.26618
2021-09-09,46048.31,46048.31,47399.97,47399.97,45513.08,45513.08,46395.14,46395.14,50651.66002,50651.66002
2021-09-08,46868.57,46868.57,47340.99,47340.99,44412.02,44412.02,46048.31,46048.31,65069.3152,65069.3152
2021-09-07,52666.2,52666.2,52920.0,52920.0,42843.05,42843.05,46863.73,46863.73,123048.802719,123048.802719
2021-09-06,51756.88,51756.88,52780.0,52780.0,50969.33,50969.33,52663.9,52663.9,49249.667081,49249.667081
2021-09-05,49917.54,49917.54,51900.0,51900.0,49450.0,49450.0,51756.88,51756.88,40544.835873,40544.835873
2021-09-04,49998.0,49998.0,50535.69,50535.69,49370.0,49370.0,49915.64,49915.64,34664.65959,34664.65959
2021-09-03,49246.63,49246.63,51000.0,51000.0,48316.84,48316.84,49999.14,49999.14,59025.644157,59025.644157
2021-09-02,48810.51,48810.51,50450.13,50450.13,48584.06,48584.06,49246.64,49246.64,54410.770538,54410.770538
2021-09-01,47100.89,47100.89,49156.0,49156.0,46512.0,46512.0,48810.52,48810.52,49904.65528,49904.65528
2021-08-31,46982.91,46982.91,48246.11,48246.11,46700.0,46700.0,47100.89,47100.89,48645.52737,48645.52737
2021-08-30,48767.84,48767.84,48888.61,48888.61,46853.0,46853.0,46982.91,46982.91,40288.35083,40288.35083
2021-08-29,48895.35,48895.35,49632.27,49632.27,47762.54,47762.54,48767.83,48767.83,32652.283473,32652.283473
2021-08-28,49069.9,49069.9,49299.0,49299.0,48346.88,48346.88,48895.35,48895.35,26681.063786,26681.063786
2021-08-27,46843.86,46843.86,49149.93,49149.93,46348.0,46348.0,49069.9,49069.9,42068.104965,42068.104965
2021-08-26,48973.32,48973.32,49352.84,49352.84,46250.0,46250.0,46843.87,46843.87,49371.277774,49371.277774
2021-08-25,47674.01,47674.01,49264.3,49264.3,47126.28,47126.28,48973.32,48973.32,44655.830342,44655.830342
2021-08-24,49488.85,49488.85,49860.0,49860.0,47600.0,47600.0,47674.01,47674.01,51014.594748,51014.594748
2021-08-23,49239.22,49239.22,50500.0,50500.0,49029.0,49029.0,49488.85,49488.85,52462.541954,52462.541954
2021-08-22,48821.88,48821.88,49500.0,49500.0,48050.0,48050.0,49239.22,49239.22,37007.887795,37007.887795
2021-08-21,49322.47,49322.47,49757.04,49757.04,48222.0,48222.0,48821.87,48821.87,46745.136584,46745.136584
2021-08-20,46760.62,46760.62,49382.99,49382.99,46622.99,46622.99,49322.47,49322.47,56850.352228,56850.352228
2021-08-19,44699.37,44699.37,47033.0,47033.0,43927.7,43927.7,46760.62,46760.62,53411.75392,53411.75392
2021-08-18,44695.95,44695.95,46000.0,46000.0,44203.28,44203.28,44705.29,44705.29,54099.415985,54099.415985
2021-08-17,45901.3,45901.3,47160.0,47160.0,44376.0,44376.0,44695.95,44695.95,57039.341629,57039.341629
2021-08-16,46973.82,46973.82,48053.83,48053.83,45660.0,45660.0,45901.29,45901.29,52480.574014,52480.574014
2021-08-15,47068.5,47068.5,47372.27,47372.27,45500.0,45500.0,46973.82,46973.82,42110.711334,42110.711334
2021-08-14,47799.99,47799.99,48144.0,48144.0,45971.03,45971.03,47068.51,47068.51,46114.359022,46114.359022
2021-08-13,44400.06,44400.06,47886.0,47886.0,44217.39,44217.39,47800.0,47800.0,48239.370431,48239.370431
2021-08-12,45510.67,45510.67,46218.12,46218.12,43770.0,43770.0,44399.0,44399.0,55266.108781,55266.108781
2021-08-11,45585.0,45585.0,46743.47,46743.47,45341.14,45341.14,45511.0,45511.0,52734.901977,52734.901977
